Date,Banks,Indicator
2014-12-01,BNC,647.0
2015-03-01,BNC,638.0
2015-06-01,BNC,636.0
2015-09-01,BNC,623.0
2015-12-01,BNC,704.0
2016-03-01,BNC,737.0
2016-06-01,BNC,735.0
2016-09-01,BNC,743.0
2016-12-01,BNC,827.0
2017-03-01,BNC,825.0
2017-06-01,BNC,827.0
2017-09-01,BNC,816.0
2017-12-01,BNC,806.0
2018-03-01,BNC,806.0
2018-06-01,BNC,801.0
2018-09-01,BNC,787.0
2018-12-01,BNC,783.0
2019-03-01,BNC,781.0
2019-06-01,BNC,776.0
2019-09-01,BNC,770.0
2019-12-01,BNC,850.0
2020-03-01,BNC,843.0
2020-06-01,BNC,845.0
2020-09-01,BNC,841.0
2020-12-01,BNC,835.0
2021-03-01,BNC,821.0
2021-06-01,BNC,813.0
2021-09-01,BNC,784.0
2021-12-01,BNC,766.0
2014-12-01,BPH,155.0
2015-03-01,BPH,156.0
2015-06-01,BPH,159.0
2015-09-01,BPH,159.0
2015-12-01,BPH,161.0
2016-03-01,BPH,164.0
2016-06-01,BPH,168.0
2016-09-01,BPH,180.0
2016-12-01,BPH,145.0
2017-03-01,BPH,140.0
2017-06-01,BPH,139.0
2017-09-01,BPH,134.0
2017-12-01,BPH,133.0
2018-03-01,BPH,133.0
2018-06-01,BPH,132.0
2018-09-01,BPH,127.0
2018-12-01,BPH,123.0
2019-03-01,BPH,130.0
2019-06-01,BPH,130.0
2019-09-01,BPH,130.0
2019-12-01,BPH,123.0
2020-03-01,BPH,133.0
2020-06-01,BPH,123.0
2020-09-01,BPH,128.0
2020-12-01,BPH,128.0
2021-03-01,BPH,135.0
2021-06-01,BPH,138.0
2021-09-01,BPH,138.0
2021-12-01,BPH,130.0
2014-12-01,BUH,192.0
2015-03-01,BUH,191.0
2015-06-01,BUH,194.0
2015-09-01,BUH,208.0
2015-12-01,BUH,228.0
2016-03-01,BUH,232.0
2016-06-01,BUH,229.0
2016-09-01,BUH,240.0
2016-12-01,BUH,251.0
2017-03-01,BUH,254.0
2017-06-01,BUH,254.0
2017-09-01,BUH,245.0
2017-12-01,BUH,246.0
2018-03-01,BUH,245.0
2018-06-01,BUH,273.0
2018-09-01,BUH,278.0
2018-12-01,BUH,351.0
2019-03-01,BUH,351.0
2019-06-01,BUH,374.0
2019-09-01,BUH,380.0
2019-12-01,BUH,381.0
2020-03-01,BUH,388.0
2020-06-01,BUH,394.0
2020-09-01,BUH,400.0
2020-12-01,BUH,420.0
2021-03-01,BUH,468.0
2021-06-01,BUH,474.0
2021-09-01,BUH,467.0
2021-12-01,BUH,471.0
2014-12-01,SOGEBK,1454.0
2015-03-01,SOGEBK,1456.0
2015-06-01,SOGEBK,1454.0
2015-09-01,SOGEBK,1466.0
2015-12-01,SOGEBK,1441.0
2016-03-01,SOGEBK,1416.0
2016-06-01,SOGEBK,1414.0
2016-09-01,SOGEBK,1403.0
2016-12-01,SOGEBK,1412.0
2017-03-01,SOGEBK,1411.0
2017-06-01,SOGEBK,1436.0
2017-09-01,SOGEBK,1459.0
2017-12-01,SOGEBK,1425.0
2018-03-01,SOGEBK,1460.0
2018-06-01,SOGEBK,1450.0
2018-09-01,SOGEBK,1427.0
2018-12-01,SOGEBK,1407.0
2019-03-01,SOGEBK,1371.0
2019-06-01,SOGEBK,1356.0
2019-09-01,SOGEBK,1344.0
2019-12-01,SOGEBK,1325.0
2020-03-01,SOGEBK,1278.0
2020-06-01,SOGEBK,1254.0
2020-09-01,SOGEBK,1297.0
2020-12-01,SOGEBK,1223.0
2021-03-01,SOGEBK,1222.0
2021-06-01,SOGEBK,1215.0
2021-09-01,SOGEBK,1174.0
2021-12-01,SOGEBK,1163.0
2014-12-01,UNIBK,1124.0
2015-03-01,UNIBK,1131.0
2015-06-01,UNIBK,1150.0
2015-09-01,UNIBK,1155.0
2015-12-01,UNIBK,1186.0
2016-03-01,UNIBK,1182.0
2016-06-01,UNIBK,1192.0
2016-09-01,UNIBK,1210.0
2016-12-01,UNIBK,1205.0
2017-03-01,UNIBK,1292.0
2017-06-01,UNIBK,1240.0
2017-09-01,UNIBK,1311.0
2017-12-01,UNIBK,1314.0
2018-03-01,UNIBK,1322.0
2018-06-01,UNIBK,1315.0
2018-09-01,UNIBK,1287.0
2018-12-01,UNIBK,1272.0
2019-03-01,UNIBK,1265.0
2019-06-01,UNIBK,1264.0
2019-09-01,UNIBK,1275.0
2019-12-01,UNIBK,1290.0
2020-03-01,UNIBK,1307.0
2020-06-01,UNIBK,1304.0
2020-09-01,UNIBK,1323.0
2020-12-01,UNIBK,1295.0
2021-03-01,UNIBK,1299.0
2021-06-01,UNIBK,1307.0
2021-09-01,UNIBK,1308.0
2021-12-01,UNIBK,1317.0
2014-12-01,CAPITALBK,531.0
2015-03-01,CAPITALBK,550.0
2015-06-01,CAPITALBK,551.0
2015-09-01,CAPITALBK,569.0
2015-12-01,CAPITALBK,603.0
2016-03-01,CAPITALBK,599.0
2016-06-01,CAPITALBK,614.0
2016-09-01,CAPITALBK,621.0
2016-12-01,CAPITALBK,643.0
2017-03-01,CAPITALBK,652.0
2017-06-01,CAPITALBK,671.0
2017-09-01,CAPITALBK,665.0
2017-12-01,CAPITALBK,686.0
2018-03-01,CAPITALBK,707.0
2018-06-01,CAPITALBK,716.0
2018-09-01,CAPITALBK,774.0
2018-12-01,CAPITALBK,754.0
2019-03-01,CAPITALBK,744.0
2019-06-01,CAPITALBK,774.0
2019-09-01,CAPITALBK,790.0
2019-12-01,CAPITALBK,781.0
2020-03-01,CAPITALBK,792.0
2020-06-01,CAPITALBK,749.0
2020-09-01,CAPITALBK,772.0
2020-12-01,CAPITALBK,778.0
2021-03-01,CAPITALBK,802.0
2021-06-01,CAPITALBK,811.0
2021-09-01,CAPITALBK,812.0
